ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
200008	Human	1	0	异邦梓人	[NAME]在一次闲谈时，从周游列国的一名友人口中得知了东方的建筑风格，热爱建筑学的[IT]大有兴趣。于是，在家庭的资助下，[IT]来到中原，要亲自学习了解“榫卯”这一奇妙的技术。	1	-1		2			1	2		-5	-3	-2	5,2	-5	2	4,1	2	2										
200009	Human	0	0	孩童领袖	[NAME]从小就天赋异禀、骨骼精奇，但[IT]并没有依仗武力欺压他人。正直仗义的[IT]深受他人信任，是附近孩童们心中的领袖。	1	-1	1	1	1	1																						
200010	Human	1	0	小镖师	凭借过人的武功，[NAME]成为了一家镖局在他家乡附近开设的分号的一名镖师。虽然目前还没有什么名气，但[IT]一直坚持练功，暗暗下了成为总镖局镖头的决心。	1	-1						5,1	3	2	2	-2			2	0,1	2	2,1	2									
200011	Human	0	0	农家丫头	父母长期在外经商的[NAME]住在农村，与[ITS]奶奶一起生活。[IT]对大自然总是充满了兴趣。	1	-1			2	1	1							8														
200012	Human	1	0	农牧专家	[NAME]从奶奶那里学习到了丰富的农作和养殖的相关知识。\n由于对动植物的深刻了解，不论农作物、牲畜或是家禽，在[NAME]的打理下总是井井有条，连连丰收并非难事。	1	-1	2			1		-3	-2	4,1	2	3	-2	8,1	2	2	-2	-1	-2									
200013	Human	0	0	被弃之人	[NAME]的降生时，一场滔天洪灾伴随而来。[IT]被村民认为是不祥之子，因此[ITS]亲生父亲手将他抛弃在深山之中。	1	-1	1	3	-1	1	1																					
200014	Human	1	0	黑市掮客	[NAME]苟延残喘的活了下来，天知道是不是花光了一辈子的运气。病弱的[IT]凭借着一点小聪明在黑市讨生活，他开始明白了一个道理：天下熙熙，皆为利来；天下攘攘，皆为利往。	1	-1	1		-1	1	1	1	5	5	3	5	-5	-3	-5	-5	-5	3	-5									
200015	Human	0	0	身世不明	[NAME]自己也不记得自己从何而来，从有记忆起，[IT]便坐在自己的特质马车上四处流浪。	1	-1	1	-1	2	1	-2																					
200016	Human	1	0	酒鬼商人	[NAME]喜欢收集奇怪的东西，[IT]将这些收集到的宝贝都藏在了自己的车上，一边流浪，一遍卖给有缘人。[NAME]嗜好喝酒，随身背着一个迷你货框，装有算盘和酒等维持生计的工具。	1	-1						-5	3	8	2	2					5											
200017	Human	0	0	独生女	[NAME]出生在一个大富之家，是家中千金独女，深的父母喜爱，受到家族的倾力培养。[IT]也因此从小就背负着父母极大的期待。	1	-1			2	2	1																					
200018	Human	1	0	超级偶像	[NAME]成年后在观海城谋生，然而举步维艰。一个偶然的机会，加入了某个潦倒艺班。[NAME]虽然性格内向，总有些悲观的情绪，但温柔坚韧，从不轻易向困难低头，终于在伙伴们的帮助下成为了观海城闻名的红人。	1	-1	3		3					4			-3	-3	-3	12												
200019	Human	0	0	城郊弃婴	[NAME]幼年时遭家人遗弃在城外的草丛里，碰巧被在附近盗墓的盗贼团伙捡回去轮流抚养长大。多年的耳濡目染使[IT]在偷盗方面展现了不一般的才能，据盗贼团伙不愿透露姓名的头目回忆，自从小燕子学会满地跑了之后，组织落脚的旧屋每天都在丢东西……	1	-1	3			1	1																					
200020	Human	1	0	梁上飞贼	[NAME]长大以后行踪不定，见头不见尾。但似乎对房梁情有独钟，偶尔可以在城内大户人家的房梁上见到[ITS]身影，有时也能在穷苦人家的房梁上找到[IT]留下的私房钱。	1	-1						3	5																			
200021	Human	0	0	怀梦稚子	[NAME]从小憧憬着正义，在[IT]刚刚懂事的时候，就幸运的结识了著名的捕快前辈。前辈被[IT]的勇气感染，答应带[IT]在身边教导。少年也顺利地踏上了梦想的旅途。	1	-1				2																						
200022	Human	1	0	自由捕快	[NAME]长大后，他跟随前辈成为捕快，然而再遭遇了很多无奈的现实后，他深感梦想成为虚影，也与自己的前辈决裂。从六扇门脱离，他成为一名“自由”捕快，以自己的手守护观海城。	1	-1	3			1		4	2		3						2											
200023	Human	0	0	天外转生	[NAME]乃天外一团混沌之气降落人间转生，可惜由于降落时角度不对，坏了根基，也忘记了自身肩负的神圣使命。	1	-1	-1	-1	-1	-1	-1																					
200024	Human	1	0	茶馆说书	[NAME]长大后成为了一个说书人，[IT]创作的长篇评书《修仙记》得到听众的热爱。然而此人经常拖更，每当听众埋怨，[IT]便以“快了快了”搪塞，十分让人脸大。	1	-1								10																		
200025	Human	0	0	数学鬼才	[NAME]从小聪慧，精通算术之道。据称[IT]从小生活中就不拘小节，是个怪才。特别喜欢和疑难题目较劲，以征服难题为荣。也因此获得了算术状元，在家乡远近闻名。	1	-1	2	-1	-2	3																						
200026	Human	1	0	牌圣	[NAME]身为命运之子，渐渐成为京城首屈一指的牌圣。[IT]与人对局时，总能未雨绸缪统筹全局，或在绝境之中神抽，造就奇迹。	1	-1		-2			1																					
200027	Human	2	0	补天者	感谢玩家[color=#D06508]子非鱼[/color]在游戏测试期间所提供的帮助。他曾以火眼金睛找到数个严重BUG，对游戏完善做出的卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200028	Human	2	0	补天者	感谢玩家[color=#D06508]周公子[/color]在游戏测试期间所提供的帮助。他曾为测试游戏数日不眠，并对游戏数值提出关键建议，为游戏完善做出卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200029	Human	2	0	补天者	感谢玩家[color=#D06508]其实不是我[/color]在游戏测试期间所提供的帮助。他曾逆天改命，将资质奇差的弟子袁若雪培养成才，结丹一品，并在之后的测试中完成了全功法精通的壮举，为游戏完善做出卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200030	Human	2	0	补天者	感谢玩家[color=#D06508]一丝不狗[/color]在游戏测试期间所提供的帮助。她为我们提供了宝贵的配音，并在测试中为农业发展提供了许多宝贵意见，为游戏完善做出了卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200031	Human	2	0	补天者	感谢玩家[color=#D06508]猫叔[/color]在游戏测试期间所提供的帮助。他为我们提供了很多玄学，文学上的支持，并帮助我们优化游戏性能，为游戏完善做出了卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200032	Human	2	0	补天者	感谢玩家[color=#D06508]风之海[/color]在游戏测试期间所提供的帮助。他对早期游戏数值调整提供了大量帮助，为游戏完善做出了卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200033	Human	2	0	补天者	感谢玩家[color=#D06508]夜猫[/color]在游戏测试期间所提供的帮助。他对邪派功法的探索为游戏带来了崭新的可能，为游戏完善做出了卓越贡献。	1	-1	1	1	1	1	1																LunHui_9					
200034	Human	1	0	夺命丹青	[NAME]成年后成为一名远近闻名的画师，求画之人络绎不绝。然而，常常有人对他提出十分过分的作画需求，这让[NAME]烦不胜烦。\n为此，[NAME]苦练武艺，但凡有需求者得寸进尺，便会出手夺其性命。	1	-1		4				10,1								10,1												
200035	Human	1	0	养龟人	[NAME]成年后成为了一名职业养龟人。常年养龟生涯让[IT]走路的速度越来越慢。[IT]也因此被人嫌弃。	1	-1							10																			
200036	Human	0	0	热血少女	[NAME]自幼聪慧，虽为女儿身，但有过人之志，并有为之燃烧的觉悟。这让她和其他女孩很不一样，充满独特的魅力。	1	-1			2	2																						
200037	Human	1	0	女侠	[NAME]长大后追逐梦想，成为了一名行走江湖的女侠。[IT]情感细腻而敏感，能查他人疾苦，更常常为朋友奋不顾身。这一切让[IT]在江湖上结识了许多知心好友，闯荡出不小的名声。	1	-1	1					8	5	8																		
200038	Human	0	0	凤舞而生	传闻中[NAME]出生时有彩凤翔于九天，百鸟相伴。但[IT]长大后听到这件事的时候觉得是无稽之谈\n不过[NAME]确实自小展现出惊人的天赋：聪颖过人，博闻强记。这让她小小年纪就积累的远超常人的学识。	1	-1		1		1	2									10							BanSpouse	BanParents	LunHui_7			
200039	Human	1	0	穿越者	[NAME]本是华夏一名普通人，却因为一本周易穿越到此方世界。因在现代丰富的积累，穿越后的[IT]无论气质，眼界还是思维在此世界都无比耀眼。凡是认识[IT]的人都对其叹为观止，惊为天人。	1	-1	-1	-3	2		1			10													LunHui_8	LunHui_6				
200040	Human	0	0	无产少女	[NAME]的父母都是无产阶级，[IT]自然也是。没什么特别的，在华夏，[IT]这样的姑娘比比皆是。贫穷的生活为[IT]塑造了坚强的体魄和坚不可摧的战斗意志。	1	-1	2	3	-1		-1																Strong	Masculinity	Affinity	BeautifulFace1		
200041	Human	1	0	穿越者	[NAME]本是华夏一名普通人，却因为一本周易穿越到此方世界。封建社会老百姓的苦难生活让[IT]动容，[IT]决定从发挥来自现代的农业知识开始让这个世界变得更美好。	1	-1						-10			5	5		20			5						LunHui_10					
200042	Human	2	0	太一弟子	[NAME]成年后，机缘巧合成为太一门的外门弟子。虽然未能修炼仙家法术，但是常年的门派锻炼也让他们身强体健。	1	-1	1	2	1																							
200043	Human	0	0	寄人篱下	[NAME]出生在一个富裕的家庭，后家道中落，父母离异。周公子便吃百家饭长大，寄人篱下的生活让他深知为人处世之道，但也养成了其乐观但孤僻的性格。每当夕阳落下他总会看着家的方向，那是他回不去的时光。	1	-1		-3					8	10													Optimistic					
200044	Human	1	0	穿越者	成年后的[NAME]家境渐渐变好，大学也考上了一所医科大学。不过就在他二十岁那年上网通宵后被三个壮汉拐到了这个世界，极低的存在感导致了他失踪了都没人发现。\n在新世界，他谋求了一份医馆工作，凭借现代的医药知识，高超的颜值和过人的情商，[NAME]在这个世界混的风生水起好不快活。	1	-1			2		1				10					5			10				LunHui_11	BeautifulFace1				
200045	Human	0	0	应劫而生	千年之前，太一门祖师飞升之际突然推算出千年之后门派将遭大祸。老祖自毁修为，费心推算，留下一方锦帕，上书时辰地点，随后陨落在天劫之下。千年后，太一门后辈弟子在预言所在地发现一名弃婴，遂带回门派收养。\n[NAME]来到太一门后，被发现身负天缺之体，根本无法修行。数十年来，派中长辈想尽办法，依然无法逆转这种体质。	1	-1					2		6													3						
200046	Human	1	0	无用之人	虽然天缺之体断绝了[NAME]的仙路，但[IT]并不服输，只是诸事不管，四十年如一日的默默坚持修炼。从被门派奉为救星，到渐渐成为笑料，[NAME]早已习惯了这一切。\n所有人不知道的是，[NAME]的努力并没有白废。在灭门之夜到来的那天，[NAME]终于以人力补天缺，突破了天缺之体的限制，第一次感受到了真气。古老的预言似乎正在应验。	1	-1	-1							-10	-10	-10	-10	-10	-10	-10	-10						LunHui_12					
200047	Human	0	0	中医世家	[NAME]出生在一个中医世家，但是他根本不愿意继承家里的中医传承，醉心于音乐之中，最擅长的乐器是二胡。	1	-1		2			-1				5					10												
200048	Human	1	0	穿越者	成年后的[NAME]迷上了二次元和钢普拉，以二次元创作和教授乐器为生。多年的表演生涯让他拥有极高的艺术水准，长期拼胶也让他有了非同一般的动手能力。一天深夜，[NAME]熬夜拼胶导致猝死。等[IT]醒来，发现来到了一个陌生的世界，[IT]依靠自己的艺术修养和手工技能顺利的活了下来。	1	-1	3	-3		1											5,2						Artist	CraftsmanEX	LunHui_13			
200049	Human	0	0	灵兽转生	[NAME]出生前，其母梦得一团黑气中有一异兽投入腹中，寤生。其童年屡现神异，小小年纪就力大无穷，胆气过人。	1	-1		3	-2	-1	1	5																				
200050	Human	1	0	义军领袖	[NAME]并不满足于安逸平和的生活，他成年后加入了一支义军的队伍，凭借着强大的实力成为了义军的首领。然而在一次伏击战中，[IT]遭遇了下属的背叛，九死一生后侥幸活了下来。	1	-1				1		5		5													Warrior	FacialScar				
200051	Human	0	0	如有神眷	[NAME]出生在一个小康之家。[IT]从小展露出有如神眷的幸运。玩氪金游戏又肝又欧，他从不充钱，却总能抽到最好的卡。然而常年肝游戏也让他小小年纪就秃了头。	1	-1				-2	2																					
200052	Human	1	0	穿越者	[NAME]成年后成为一名游戏设计师。在一次深夜加班时突然遭遇雷暴。一阵闪光后，[NAME]穿越了。\n穿越使得的后遗症严重破坏了[NAME]的健康，但也让他的思维空前灵动。在新世界，[NAME]依靠自己的幸运和过人的悟性活了下来。	1	-1		-2		2																						
200053	Human	0	0	不幸之人	[NAME]的家乡在一场正邪大战中被波及而毁灭，失去家园的[NAME]和父亲被迫流落他乡。\n为了逃避残酷的现实，[NAME]的父亲沉迷上了赌博，最后将年幼的[NAME]卖给了人贩子。	1	-1												8														
200054	Human	1	0	流落邪道	[NAME]在人贩子手里几经转卖，最终流落到一个邪派中，成为改进邪功的实验的对象。在试验邪功的过程中，[NAME]不出意外的失败了，被丢弃到乱葬岗里。\n然而[NAME]十分命大，虽然因此瞎了一只眼睛，但却最终活了下来。他的身体也因为这次试验，发生了奇怪的变化。	1	-1	3			2				12	8												LunHui_15	BanLeftEye				
200055	Human	0	0	仙人托梦	[NAME]出生时天现异象。在[IT]五岁时，梦到仙人传授其秘术。自那之后，[IT]便展现出解除的动手天赋，可以灵巧的制作出复杂的工具玩具。	1	-1	1	1	1	1	2		5										10				LunHui_16					
200056	Human	1	0	工匠大师	[NAME]成年后成为远近闻名的工匠，他总是回想起少年时的那场梦。他知道在凡人的世界之外，有一个全新的世界，那里有真正的炼器术存在。那才是他的追求。	1	-1		3		1				10						5	10											
200057	Human	0	0	天外来客	不是大侠，胜过大侠，没有人知道他从何处而来，只知道他去过很多地方，遇到了很多人，似乎让很多事情回归了正道，又似乎解决了很多的问题，有人记得他善于使用一种类似于剪刀石头布的拳法，变化莫测，打遍天下无敌手，如今他又来了一个全新的世界，会有什么等着他呢。	1	-1		2			1	5,1		10,1		10,1					10,1											
200058	Human	1	0	河图洛书	无论身处何处，终究要寻找回家的路，穿梭在茫茫空间里，迷失在漫漫轮回中，小虾米依然没有放弃自我，乐于助人，拔刀相助，与人为善，做最真实的自己，在探索归途之时，知晓河图洛书的秘密，明白了万物存在的真谛，毅然踏上旅途。	1	-1	1	1	1	1	1											5										
200059	Human	0	0	侠中生	[NAME]从小生活在一群侠客之中，听闻着江湖各种新鲜事，学习着各种武学知识，与侠为伍，与义相伴，在这样的环境中学习到了一身本领，也明白了世界之大无奇不有。	1	-1	1	1		1	1			15,2																		
200060	Human	1	0	百晓通	[NAME]长大后游历江湖，一边记录见闻，一边侠义。[IT]知晓天下事，分辨黑与白，一笔一墨书写世间万物，一剑一刀斩乱江湖正邪，渐渐地被人们所认知。虽然为人行事神龙见首不见尾，不过却总会在人们需要帮助的时候现身，指点迷津，传道解惑。	1	-1		1	2	1	1	5,1	5,1		5,1					10,1												
200061	Human	0	0	金鳞转生	[NAME]本为天河一尾金鱼，千万年修行渐通灵性。为体悟红尘，[IT]舍去神体，转生人间。\n[NAME]小小年纪就深具灵性，展现出非同一般的天赋。[IT]思维敏捷，就算成年人也常常跟不上她的思路。	1	-1			2																		LunHui_2					
200062	Human	1	0	丹青佳人	[NAME]长大后醉心画艺，以其过人之天资仅仅二八年华便名动京畿。[IT]善画水中游鱼，栩栩如生，见着无不称画可通灵。	1	-1				1										10							Artist					
200063	Human	0	0	侠之子	[NAME]从小热爱武侠小说，醉心其中，渴望当一名侠士。然而出生现代社会的[IT]却只能对此望洋兴叹。\n尽管如此，侠之精神依然对其产生了深远的影响，他自小便嫉恶如仇，行事颇有侠风。	1	-1	2					5,2															Warrior					
200064	Human	1	0	穿越者	[NAME]长大后迷上了收集各种各样的剑器，并熟能生巧的掌握了许多养剑护剑的诀窍。许多同好也会委托他帮忙养护爱剑。\n一天深夜，[NAME]在养护一柄朋友托他保管的古剑时，竟然意外穿越到一方陌生的世界。	1	-1	1			1											10			0,2			LunHui_17					
200065	Human	0	0	游戏人生	[NAME]出生在华夏国一个普通家庭，[IT]自小贪玩，常常沉浸在游戏的海洋中。这虽然让[IT]看起来有些内向，但丰富的游戏经历培养了他敏锐的洞察力和灵活的思维。	1	-1		-1		2																						
200066	Human	1	0	穿越者	[NAME]长大后沿着自己的爱好成为了一名游戏测试员。在一次通宵玩游戏时，突然遭遇雷暴，[NAME]穿越了。\n穿越后的[NAME]依靠敏锐的洞察力迅速融入了这个世界，并混的风生水起。	1	-1	1							10													LunHui_18					
200067	Human	2	0	补天者	感谢玩家[color=#D06508]宋[/color]在游戏测试期间所提供的帮助。他以敏锐的目光找到许多漏洞，为游戏完善做出了卓越贡献。	1	-1	1	1	1	1	1																					
200068	Human	0	0	雪之子	[NAME]在小雪时节出生，小时候就很喜欢雪，且天赋异禀，不畏寒冷。[IT]聪慧过人，饱读诗书。活泼好动，自小就喜欢爬山爬树，身法迅捷，就连很多成年人都比不上。	1	-1		1		1			5							8							Reader					
200069	Human	1	0	雪中侠	[NAME]成年后成为一名侠客，他以身法闻名江湖。在一次意外中，他中伏击受伤，失去了一条腿和一只眼睛，这也逼他被迫归隐。\n虽然如此,[NAME]从未放弃过对速度的追求。一次偶然，他在雪中看到雪貂踏雪无痕的动作，突然有所领悟，重新拥有了过人的速度。	1	-1				-2		5															LunHui_19	CrippleLeft	BanLeftEye			
200070	Human	2	0	补天者	感谢玩家[color=#D06508]lsprotoss[/color]在游戏测试期间所提供的帮助。他为游戏中后期节奏的调整提出关键性的建议，并提出快捷键设置的必要性，为游戏完善做出了卓越贡献。	1	-1	1	1	1	1	1																					
200071	Human	0	0	稳重大哥	一个出身孤苦的调皮男孩，有着并不美好的童年，为了让别人看得起自己而立志成为名动江湖的大侠。	1	-1		1		2											5											
200072	Human	1	0	双拳震河洛	铁拳无敌李乘龙，打遍河洛无敌手。黄河三圣三兄弟中的领头人物，带领着两位兄弟闯荡江湖。虽然经常做一些看起来很愚蠢的事情，但是他的本性还是善良且正义的。	1	-1	1	2	2	-1		10,1	5,1	5																		
200073	Human	0	0	憨厚老二	出身孤儿，小时候跟着杂艺团四处表演卖艺，他憨厚老实，吃苦耐劳。在杂艺团出事后认识了大哥双拳震河洛，从此决定努力习武，闯荡江湖，做一位守护大家的大侠。	1	-1		2		1																						
200074	Human	1	0	胸口碎大石	铜头铁臂童石中，人送绰号胸口碎大石。他威风鲁莽，嫉恶如仇，十分重情重义，有的时候有些憨厚可爱，惹人哭笑不得。	1	-1		4	2		1	5,1	5,1																			
200075	Human	0	0	机灵三弟	常宇风出身普通，家中出过一些事故，之后便只余他一人在江湖闯荡。生活艰苦的他心中暗下决心，一定要让身处乱世的孩子们有家可归。	1	-1	1	-1						5																		
200076	Human	1	0	独脚草惊风	自称轻功绝世，自封黄河一苇渡，自觉豪气干云，人送外号独脚草惊风。是黄河三圣中最小点子最多的一人，在关键时候，似乎也是跑得最快的一个……	1	-1	2	-2		3		5															LunHui_23					
200077	Human	0	0	爱的供养	[NAME]从小生活在爱的包围之中，被全村人众星捧月般的用爱供养着。他还因为歌声美妙，而深受全村人的喜爱，小小年纪就霸气外露。	1	-1			1		2			3,2						5,2												
200078	Human	1	0	无敌最寂寞	长大后的[NAME]开始走上了成为无敌之人的道路，励志成为一个打遍天下无敌手的高手，没错，他是无敌的。	1	-1	3		2			10,1	5,2								8											
200079	Human	0	0	财团培育所	[NAME]在实行末位淘汰制的孤儿培育所长大。在这里被收养的孤儿会被教授各种技能以达成金主的特别委托：有时是成为组织的暗杀者，有时则是作为奇道邪术的素体。但即使在残酷的环境下，她与在此结识的义妹依然互相扶持着。	1	-1		1		1	2			5	5		-5															
200080	Human	1	0	涡旋卫	幸存的实验体，浮沉于世的游侠，人类血统与紫世能量共存于体内。母神的力量与她融合，使得她获得了卓越的再生能力以及漫长的寿命。但相应的，不稳定的半能量态身体需要她通过长时间的睡眠来维持。在一次沉睡，她惊讶的发现自己来到了一个全新的世界，伴随自己的力量也消失无踪。这会是一个新的开始么？	1	-1	3					10,1	8								5	8,1										
200081	Human	0	0	世家公子	[NAME]成长在象牙塔中，生日四月初八，与悉达多同日，因此为身边人所瞩目并寄予厚望，以期继承家传、建功立业。[NAME]自小喜欢读书和思考，关注哲学与宗教，展露出过人的天赋。[IT]虽性格恬淡温和，内心单纯善良，但因为想法独特，常被人认为骄傲和清高。	1	-1			-1	2						-5	-5	-5	-5	5	5											
200082	Human	1	0	苦行僧	成年之后，[NAME]自我意识渐渐觉醒，决心不再走一条被家人安排好的道路。在经历了一段人间烟火后，渐渐明白了自己人生的使命，于是看破红尘毅然出家。	1	-1	2		2	1		3	3	10,1	5							3	3									
200083	Human	0	0	捕鱼世家	[NAME]从小出身在渔村，整个村子其乐融融，邻里之间关系和睦。[NAME]自小就在捕鱼的过程中练就了过人的感知和健壮的体魄。	1	-1	1	1	1	1								2														
200084	Human	1	0	蓬莱奇遇	在一次随父亲出海打渔时，[NAME]遭遇海龙卷，醒来时孤身漂泊到蓬莱仙境。岛上仙人虽然未曾传授其法师道器，但竟也习得一些打坐呼吸之法。后蓬莱巨变，身为凡人的他最终只得回归俗世。但曾经蓬莱仙岛上的经历，为他造就了坚实的根基。	1	-1			-2	1	3	3	8	-4			-4		-4		-4	5,1	5,1									
200085	Human	0	0	胖布丁童工	小小年纪，就被胖布丁从小占为己有，当作苦力培养。终日流落各种街头捡拾破烂，乞讨金钱。这些苦难为[IT]磨砺出坚强的意志。	1	-1		-1		1		-3	-3		4			8	5			-3										
200086	Human	1	0	城寨探险家	为了寻找身世，[NAME]去了他同伴的世界苦苦探寻，然而最终发现一切都是迷。所以干脆破罐子破摔，不再纠结过去的事。现在他常年流连于香港九龙城寨，只为了能感受城寨底层人民的奇异人生。	1	-1	1	1	1	1	2			5						5,1			3				Pessimism	Rugged				
200087	Human	0	0	扫地沙弥	[NAME]身世不明，自小被火箭拳寺的僧人收养，成为一个小沙弥。[NAME]自有记忆以来一直在火箭拳寺勤勤恳恳地扫地。	1	-1	2	1		1		5	3	-3																		
200088	Human	1	0	扫地僧	[NAME]长大后依然承担扫地的任务，三十年来只做这一事。春秋扫落叶，夏日扫飞花，冬日扫雪。日升而作，夜深方休。寺庙人来人往，香火甚旺，却无人与其言语，也无人知其姓名。	1	-1		2		2	-1	10	5	-5																		
200089	Human	0	0	多动少年	[NAME]从小因为对事物充满好奇而到处惹事，喜欢将各种奇怪的东西混合在一起进行实验，会将拆解后的烟花爆竹重新组合再去点燃。可能是出于类似的原因，在十几岁时写过的小说中，身为作者化身的主角就是使用火魔法的剑客。	1	-1	2	2		1	1	3		5	-2		-2	-2	-2		10,1		3									
200090	Human	1	0	家里蹲	[NAME]成人后投入了与语言和文字相关的工作，自己也变得懒得动弹，并以“秀才不出门可知天下事”作为懒惰的借口。认为世界上最强大的法术就是孙悟空的毫毛分身之术，因为麻烦的事都让分身去做就可以了。然而他的头发逐渐稀少，这一梦想的前景变得坎坷了起来。	1	-1	1	-1	1	2										8		5										
200091	Human	0	0	离乡孩童	[NAME]从小性格孤僻的孩童，因出身不好经常受族人欺辱。[IT]只能日夜抚琴，在音乐中找到慰藉。在他很小的时候，就一人一琴离乡出走，浪迹异国。	1	-1	1		-1	2			5	-3						5,2												
200092	Human	1	0	琴师	廿余年后，一名仙风道骨的琴师名声大噪。江湖中想要求他制琴之人络绎不绝，却极少人能寻得其踪影。	1	-1	1		2	1			8							10	12											
200093	Human	0	0	拆家出走	[NAME]自幼对骨头就有着某种神秘的兴趣。只要能得到一根，被刺扎、摔成狗、把家拆了也在所不惜。经常出走寻找附近的骨头，认为研究骨头会是他的毕生兴趣，年幼的他对此深信不疑。	1	-1	1	2	3		1	5		-8			-8															
200094	Human	1	0	“骨法师”	长大后却开始对同村成熟的异性产生兴趣。总和村里的猫朋狗友称自己会些颠倒事物的法术，也时常向同村的那位姑娘念叨他那稀奇古怪的咒语（汪汪汪）。然而似乎这位同村的姑娘只对他带着的奇怪骨头有兴致。	1	-1	1	1			1	5						5	5			8,2	8,2									
200095	Human	0	0	捕鱼世家	出生于一个捕鱼世家，通鱼语，自小跟随父亲钓遍天下江河湖海，	1	-1	2			1						5,1																
200096	Human	1	0	海洋学家	[NAME]十七岁时在止水湖中钓得一怪鱼。剖开鱼腹得一字条，上书“天数有变，神器更易，而归有德之人，找到三叉戟者，将得到整个亚特兰蒂斯的力量”。从此开始研究海洋中的古代文明。	1	-1	2				3	5	5	5									5,2									
200097	Human	0	0	出身不明	[NAME]身世不明，尚在年幼的[IT]在阿罗拉岛上被海洋学家发现并带回中原。	1	-1		-1	2	1				-5						10,2												
200098	Human	1	0	歌姬	[NAME]长大后成为一名歌姬，[ITS]歌声美妙但是有让人饥饿的神奇力量。每到一地就用歌声传播饥饿，四处收集美食。	1	-1			1	1			-3			10,1																
200099	Human	0	0	驴火爱好者	[NAME]出生在驴火之乡保定，从小喜欢玩游戏和吃驴火。喜欢文学和音乐，最大的梦想是成为一名音乐人。	1	-1	-3		1	5				2		5				8,1	8											
200100	Human	1	0	琴魔	[NAME]因为没有习得足够的音乐技术，并且缺少天赋，最终没能成为音乐人。但[IT]机缘巧合下习得一种特殊的古琴演奏法，琴声魔音灌耳，琴弦锋利凌乱，琴颈结实可靠，成为走路带风弹琴杀人的好手。	1	-1	3		3	-5	4		5	5		8,1				-3		5										
200101	Human	0	0	拳法传人	[NAME]从小在武学世家长大，爸爸擅长举重，妈妈擅长跳高，因此长期苦练举重和跳高。在八岁时，遇到了魔鬼筋肉人，成为了中国古拳法的唯一传人，从那以后，[NAME]发誓要维护世界和平。	1	-1	1	3				5	10									4										
200102	Human	1	0	肥仔暗杀拳	在不断修炼中国古拳法的路途中，[NAME]悟出了格斗的真谛，那就是当面暗杀对手。[NAME]自创肥仔暗杀拳，平时以肥仔的形象隐藏自己，面对面时突然出手，无人能躲，乃是武林最强格斗术之一。	1	-1		1	-2	3	2	8,2	4									8										
200103	Human	0	0	游戏禅师	[NAME]从小就为游戏的美好而更加努力着，在优秀的老师带领下，他学习到了各种各样的关于游戏的知识，让他遨游在游戏的海洋之中，深深的被创造一种游戏世界而感到震撼，为游戏而修禅之人，定当为终生目标。	1	-1		-2		3	1									4,2	5,2											
200104	Human	1	0	风之旅人	[NAME]在逐梦途中成为一名风之旅人。许这条路上需要与寂寞为伍，但偶尔总会遇到陪他走过某一段路程的伙伴。分别、重逢、无言却又同行，再次分开，直到另一个人的加入，这像极了人生的旅途，与风作伴，与你前行，与孤独成对，与迷途共饮，与梦想博弈。	1	-1			1	3	3		5	8	6					8												
200105	Human	0	0	竞技少女	小苍从小活泼好动，并深深的喜欢各类竞技类游戏，在各界都取得了不俗的成绩，在这个原本大多数情况下属于男性的活动之中，闯出了女性的一片天地。	1	-1	2	2	2	2	2			5																		
200106	Human	1	0	解说员	江湖到处充满了纷争，不过多数时候大家恪守着某一种规则，这是比赛也是一种互相成长的办法，所以小苍有时候会被邀请来对这样的比试做解说，为一些不了解其中奥秘的人说明情况，久而久之人们便习惯了在比试现场听到她的声音和她的妙语连珠。	1	-1	3		4				10	8						5												
200107	Human	0	0	吔屎丫	从小玩游戏，长大没出息。因为小时候垃圾游戏玩的太多，吃屎的感觉一直记忆犹新。由此愿望从科学家或者领导人之类，变成了长大要做出最屎的游戏，但是玩的人还要足够多，让他们一面体验一面欢乐。	1	-1	1			2				-4						5,2	4											
200108	Human	1	0	巨魔杀手	法杖做得好，站岗站到老。做游戏喂屎的梦想在达拉然破灭，法杖生意破产后，开始统领巨魔为生。巨魔的牙齿，巨魔的鬃毛，总之巨魔的材料还是能卖钱的。获取方式，当然是让巨魔去打巨魔了。	1	-1	2	1		2		5	5							5	10,2	5	5									
200109	Human	0	0	扭曲之源	[NAME]在黑暗的童年里扭曲的生长，在大佬殴打中长大。然而，童年伙伴挨个死去以后，爱撕衣在哀悼他们后吃掉了他们的遗产，然后内心变的无比强大。	1	-1			2	2	1	8,2	5																			
